config_id,method,trial,params,fitness,head_to_head_score,runtime,memory,bit_string
73,hill_climb,0,"{'numRestarts': 1, 'numIterations': 1}",1.94,1.93,0.0013,21,101010000000001101100
73,hill_climb,1,"{'numRestarts': 1, 'numIterations': 1}",2.27,2.26,0.00126,21,000110000100011011111
73,hill_climb,2,"{'numRestarts': 1, 'numIterations': 1}",2.02,2.11,0.00123,21,011001000010010100011
73,hill_climb,3,"{'numRestarts': 1, 'numIterations': 1}",2.27,2.2,0.0012,21,101001001110101001010
73,hill_climb,4,"{'numRestarts': 1, 'numIterations': 1}",2.18,2.15,0.00125,21,000011010101100001111
74,hill_climb,0,"{'numRestarts': 1, 'numIterations': 2}",2.03,2.04,0.00255,21,100100101010000000111
74,hill_climb,1,"{'numRestarts': 1, 'numIterations': 2}",2.65,2.6,0.00251,21,010100011101000111000
74,hill_climb,2,"{'numRestarts': 1, 'numIterations': 2}",1.83,1.95,0.0024,21,110101000011100110110
74,hill_climb,3,"{'numRestarts': 1, 'numIterations': 2}",2.16,2.16,0.00234,21,101100111100001001101
74,hill_climb,4,"{'numRestarts': 1, 'numIterations': 2}",2.21,2.24,0.00245,21,011011010100110111111
75,hill_climb,0,"{'numRestarts': 1, 'numIterations': 4}",2.27,2.2,0.00472,21,100011000101110011100
75,hill_climb,1,"{'numRestarts': 1, 'numIterations': 4}",2.34,2.34,0.00482,21,011101011100110010111
75,hill_climb,2,"{'numRestarts': 1, 'numIterations': 4}",2.64,2.59,0.00467,21,001000111000100011100
75,hill_climb,3,"{'numRestarts': 1, 'numIterations': 4}",2.72,2.68,0.00464,21,011001110100001001000
75,hill_climb,4,"{'numRestarts': 1, 'numIterations': 4}",2.66,2.61,0.00454,21,010101100010010110000
76,hill_climb,0,"{'numRestarts': 1, 'numIterations': 8}",2.64,2.59,0.00934,21,001100000010100101100
76,hill_climb,1,"{'numRestarts': 1, 'numIterations': 8}",2.67,2.62,0.00942,21,001000010100001111100
76,hill_climb,2,"{'numRestarts': 1, 'numIterations': 8}",2.59,2.53,0.00937,21,001000010000110011110
76,hill_climb,3,"{'numRestarts': 1, 'numIterations': 8}",2.62,2.57,0.00926,21,001101000111111000110
76,hill_climb,4,"{'numRestarts': 1, 'numIterations': 8}",2.21,2.13,0.00929,21,101101100100011010000
77,hill_climb,0,"{'numRestarts': 1, 'numIterations': 16}",2.2,2.34,0.01847,21,100001111111000111101
77,hill_climb,1,"{'numRestarts': 1, 'numIterations': 16}",2.72,2.68,0.0184,21,001001000100110101100
77,hill_climb,2,"{'numRestarts': 1, 'numIterations': 16}",2.57,2.51,0.01883,21,011000000011001011010
77,hill_climb,3,"{'numRestarts': 1, 'numIterations': 16}",2.62,2.57,0.01825,21,000101011010111000110
77,hill_climb,4,"{'numRestarts': 1, 'numIterations': 16}",2.56,2.5,0.01834,21,000000101111100001010
78,hill_climb,0,"{'numRestarts': 1, 'numIterations': 32}",2.53,2.46,0.03625,21,001001010110110010010
78,hill_climb,1,"{'numRestarts': 1, 'numIterations': 32}",2.72,2.68,0.03648,21,011001110100011011000
78,hill_climb,2,"{'numRestarts': 1, 'numIterations': 32}",2.33,2.37,0.03785,21,011111010100001111111
78,hill_climb,3,"{'numRestarts': 1, 'numIterations': 32}",2.7,2.66,0.03732,21,010101000110000010010
78,hill_climb,4,"{'numRestarts': 1, 'numIterations': 32}",2.56,2.49,0.03685,21,010100001001101111010
79,hill_climb,0,"{'numRestarts': 1, 'numIterations': 64}",2.48,2.4,0.07416,21,011000110111011100110
79,hill_climb,1,"{'numRestarts': 1, 'numIterations': 64}",2.62,2.57,0.07361,21,010100111110101101100
79,hill_climb,2,"{'numRestarts': 1, 'numIterations': 64}",2.72,2.68,0.07446,21,000001010101001001100
79,hill_climb,3,"{'numRestarts': 1, 'numIterations': 64}",2.64,2.59,0.07313,21,000100001110111011000
79,hill_climb,4,"{'numRestarts': 1, 'numIterations': 64}",2.61,2.55,0.07359,21,001000101010111100100
80,hill_climb,0,"{'numRestarts': 2, 'numIterations': 1}",2.61,2.55,0.00235,21,010000111001000000000
80,hill_climb,1,"{'numRestarts': 2, 'numIterations': 1}",2.02,1.96,0.00239,21,010111111100101001101
80,hill_climb,2,"{'numRestarts': 2, 'numIterations': 1}",1.99,1.88,0.00249,21,010011101101100000100
80,hill_climb,3,"{'numRestarts': 2, 'numIterations': 1}",2.44,2.39,0.0024,21,001010010001000010000
80,hill_climb,4,"{'numRestarts': 2, 'numIterations': 1}",2.16,2.12,0.00241,21,010001011101011010001
81,hill_climb,0,"{'numRestarts': 2, 'numIterations': 2}",2.53,2.46,0.00468,21,000000110000111000010
81,hill_climb,1,"{'numRestarts': 2, 'numIterations': 2}",2.59,2.54,0.00467,21,011000000111100111110
81,hill_climb,2,"{'numRestarts': 2, 'numIterations': 2}",2.12,2.05,0.00483,21,110010001101111010000
81,hill_climb,3,"{'numRestarts': 2, 'numIterations': 2}",2.18,2.29,0.00465,21,100111001110001011101
81,hill_climb,4,"{'numRestarts': 2, 'numIterations': 2}",2.57,2.51,0.0047,21,011001111110000100010
82,hill_climb,0,"{'numRestarts': 2, 'numIterations': 4}",2.64,2.59,0.0092,21,011001000000001101000
